Release,NamespacePrefix,LocalTerm,Literal,Definition
5.0,ncic,SMT,"Scars, Marks, Tattoos, and Other Characteristics",
5.0,ncic,SVC,Service Information,
5.0,ncic,TRFU,Translation Field Usage,
5.0,ncic,TYP,(Firearm) Type,
5.0,ncic,TYPA,Article Type,
5.0,ncic,TYPO,ORI Type,
5.0,ncic,TYPS,(Securities) Type,
5.0,ncic,UDC,User Decision Code,
5.0,ncic,VCO,Vehicle Color,
5.0,ncic,VMA,Vehicle Make,
5.0,ncic,VMO,Vehicle Model,
5.0,ncic,VPC,Violent Person Criteria,
5.0,ncic,VST,Vehicle Style,
5.0,ndex,CAD,Computer Aided Dispatch,
5.0,ndex,CAL,(Firearm) Caliber,
5.0,ndex,E911,Emergency 911,
5.0,ndex,JABS,Joint Automated Booking System,
5.0,ndex,LEOKA,Law Enforcement Officer Killed or Assaulted,
5.0,ndex,MO,Modus Operandi,
5.0,ndex,NDEx,National Data Exchange,
5.0,ndex,NIBRS,National Incident Based Reporting System,
5.0,ndex,RAC,Race,
5.0,ndex,SEX,,The gender or sex of a person.
5.0,ndex,VST,Vehicle Style,
5.0,niem-xs,maxInclusive,,"An inclusive maximum value. To be valid, a value must be less than or equal to the value of xs:maxInclusive."
5.0,occs,OmniClass,,OmniClass is a comprehensive classification system for the construction industry.
5.0,sar,FS,Functional Standard,
5.0,scr,ASA,Army Security Agency,
5.0,scr,CBP,United States Customs and Border Protection,
5.0,scr,DoJ,Department of Justice,
5.0,scr,EFTS,Electronic Fingerprint Transmission Specification,
5.0,scr,IATA,International Air Transport Association,
5.0,scr,IDENT,Automated Biometric Identification System,
5.0,scr,INS,Immigration and Naturalization Service,
5.0,scr,LPR,License Plate Reader,
5.0,scr,NCIC,National Crime Information Center,
5.0,scr,TECS,Traveler Encounter Compliance System,
5.0,scr,USCIS,United States Citizenship and Immigration Services,
5.0,scr,Watchlist,,A document which contains a nomination list prepared and approved by the National Center of Counter Terrorism.
5.0,st,AADT,Annual average daily traffic,
5.0,st,AAR,Association of American Railroads,
5.0,st,Trafficway,,Any land way open to the public as a matter of right or custom for moving persons or property from one place to another.
5.0,stat,ISCO,International Standard Classification of Occupations,
5.0,stat,ISIC,International Standard Industrial Classification,
5.0,stat,SNA,System of National Accounts,
5.0,ucr,LEOKA,Law Enforcement Officer Killed or Assaulted,
5.0,ucr,NIBRS,National Incident-Based Reporting System,
5.0,usda_fsa,CCC,Commodity Credit Corporation,
5.0,usda_fsa,FSA,Farm Service Agency,
5.0,xCard,IETF,Internet Engineering Task Force,
5.0,xCard,vCard,,"vCard, also known as VCF (Virtual Contact File), is a file format standard for electronic business cards."
