Release,NamespacePrefix,LocalTerm,Literal,Definition
5.1,ncic,DBN,One Crime Inquiry Database Name,
5.1,ncic,DCH,Dental Characteristics,
5.1,ncic,DEN,Denomination,
5.1,ncic,ECR,(Threat Group Member) Criteria for Entry,
5.1,ncic,EPD,(Boat) Engine Power or Displacement,
5.1,ncic,ETN,Ethnicity,
5.1,ncic,EXL,Extradition Limitation,
5.1,ncic,EYE,Eye Color,
5.1,ncic,FILE,FILE fields,
5.1,ncic,FP,Fingerprint,
5.1,ncic,FPC,Fingerprint Classification,
5.1,ncic,GOFF,,Offenses of General Applicability
5.1,ncic,GTYP,Gun Type Characteristic 1 Weapon Type,
5.1,ncic,GTYP2,Gun Type Characteristic 2,
5.1,ncic,GTYP3,Gun Type Combination,
5.1,ncic,GTYPE,Global Inquiry Type of Request,
5.1,ncic,HAI,Hair Color,
5.1,ncic,HSP,(Boat) Hull Shape,
5.1,ncic,HUL,(Boat) Outer Hull Material,
5.1,ncic,IDT,Identity Theft Type,
5.1,ncic,IFS,Identification for Firearm Sales,
5.1,ncic,IMT,Image Type,
5.1,ncic,JWT,Jewelry Type,
5.1,ncic,LIS,License Plate State,
5.1,ncic,LIT,License Plate Number,
5.1,ncic,LITP,License Plate Type,
5.1,ncic,LSTA,State/Country Index,
5.1,ncic,MAK,(Firearm) Make,
5.1,ncic,MNP,Missing Person,
5.1,ncic,MNU,(person identifier) Miscellaneous Number,
5.1,ncic,MPC,Missing Person Circumstances,
5.1,ncic,NICS,National Instant Criminal Background Check System,
5.1,ncic,NPF,Number of Missing Person Found,
5.1,ncic,OFF,Offense Code,
5.1,ncic,OFS,Offender Status,
5.1,ncic,OLS,Operator License State,
5.1,ncic,OOC,Original Offense Code,
5.1,ncic,ORI,,"A nine-character identifier assigned by the FBI Criminal Justice Information Systems (CJIS) staff to an organization, which must have met the established qualifying criteria for ORI assignment to identify the agency in transactions on CJIS Systems."
5.1,ncic,PCC,Physical Feature Class,
5.1,ncic,PCO,Protection Order Condition,
5.1,ncic,PCS,(Fingerprint) Pattern Code Source,
5.1,ncic,POB,Place of Birth,
5.1,ncic,PRO,(Boat) Propulsion,
5.1,ncic,PSC,Physical Feature Sub Class,
5.1,ncic,RAC,Race,
5.1,ncic,RES,Registration State,
5.1,ncic,RMI,Ransom Money Indicator,
5.1,ncic,ROV,Relationship of Victim,
5.1,ncic,RPP,Reason for Property Record Removal,
5.1,ncic,SDT,Security Date or Series Year,
5.1,ncic,SEX,Gender,
5.1,ncic,SKN,Skin Tone,
5.1,ncic,SMT,"Scars, Marks, Tattoos, and Other Characteristics",
5.1,ncic,SVC,Service Information,
5.1,ncic,TRFU,Translation Field Usage,
5.1,ncic,TYP,(Firearm) Type,
5.1,ncic,TYPA,Article Type,
5.1,ncic,TYPO,ORI Type,
5.1,ncic,TYPS,(Securities) Type,
5.1,ncic,UDC,User Decision Code,
5.1,ncic,VCO,Vehicle Color,
5.1,ncic,VMA,Vehicle Make,
5.1,ncic,VMO,Vehicle Model,
5.1,ncic,VPC,Violent Person Criteria,
5.1,ncic,VST,Vehicle Style,
5.1,ndex,CAD,Computer Aided Dispatch,
5.1,ndex,CAL,(Firearm) Caliber,
5.1,ndex,E911,Emergency 911,
5.1,ndex,JABS,Joint Automated Booking System,
5.1,ndex,LEOKA,Law Enforcement Officer Killed or Assaulted,
5.1,ndex,MO,Modus Operandi,
5.1,ndex,NDEx,National Data Exchange,
5.1,ndex,NIBRS,National Incident Based Reporting System,
5.1,ndex,RAC,Race,
5.1,ndex,SEX,,The gender or sex of a person.
5.1,ndex,VST,Vehicle Style,
5.1,niem-xs,maxInclusive,,"An inclusive maximum value. To be valid, a value must be less than or equal to the value of xs:maxInclusive."
5.1,occs,OmniClass,,OmniClass is a comprehensive classification system for the construction industry.
5.1,sar,FS,Functional Standard,
5.1,scr,ASA,Army Security Agency,
5.1,scr,CBP,United States Customs and Border Protection,
5.1,scr,DoJ,Department of Justice,
5.1,scr,EFTS,Electronic Fingerprint Transmission Specification,
5.1,scr,IATA,International Air Transport Association,
5.1,scr,IDENT,Automated Biometric Identification System,
5.1,scr,INS,Immigration and Naturalization Service,
5.1,scr,LPR,License Plate Reader,
5.1,scr,NCIC,National Crime Information Center,
5.1,scr,TECS,Traveler Encounter Compliance System,
5.1,scr,USCIS,United States Citizenship and Immigration Services,
5.1,scr,Watchlist,,A document which contains a nomination list prepared and approved by the National Center of Counter Terrorism.
5.1,st,AADT,Annual average daily traffic,
5.1,st,AAR,Association of American Railroads,
5.1,st,Trafficway,,Any land way open to the public as a matter of right or custom for moving persons or property from one place to another.
5.1,stat,ISCO,International Standard Classification of Occupations,
5.1,stat,ISIC,International Standard Industrial Classification,
5.1,stat,SNA,System of National Accounts,
5.1,ucr,LEOKA,Law Enforcement Officer Killed or Assaulted,
5.1,ucr,NIBRS,National Incident-Based Reporting System,
5.1,usda_fsa,CCC,Commodity Credit Corporation,
5.1,usda_fsa,FSA,Farm Service Agency,
5.1,xCard,IETF,Internet Engineering Task Force,
5.1,xCard,vCard,,"vCard, also known as VCF (Virtual Contact File), is a file format standard for electronic business cards."
