ns_prefix,parent_property_name,property_name,type_prefix,type_name,definition
nc,Person,PersonLanguageEnglishIndicator,niem-xs,boolean,True if a person understands and speaks English; false otherwise.
nc,Person,PersonLearningDisabilityAbstract,,,A data concept for a disorder of a person which can cause difficulties in learning something.
nc,Person,PersonLicenseIdentification,nc,IdentificationType,An identification that references a license certification or registration of a person for some purpose.
nc,Person,PersonLivingIndicator,nc,boolean,True if a person is alive; false if a person is dead.
nc,Person,PersonMedicalCondition,nc,MedicalConditionType,"A state of health for a person, on-going or present."
nc,Person,PersonMedicalDescriptionText,nc,TextType,A description of the overall health of a person.
nc,Person,PersonMedicalFileIndicator,niem-xs,boolean,True if a medical history file is known to exist for a person; false otherwise.
nc,Person,PersonMedicationRequiredText,nc,TextType,A medication and dosage required for a person.
nc,Person,PersonMentalStateAbstract,,,A data concept for a mental condition of a person.
nc,Person,PersonMilitarySummary,nc,MilitarySummaryType,A service of a person in a military.
nc,Person,PersonMoodDescriptionText,nc,TextType,A description of a state of feeling of a person.
nc,Person,PersonName,nc,PersonNameType,A combination of names and/or titles by which a person is known.
nc,Person,PersonNationalIdentification,nc,IdentificationType,An identification that references a person within a country but is not based on fingerprint.
nc,Person,PersonNationality,nc,PersonNationalityType,A person's position or status with a country that grants a person citizenship or a country in which a person is deemed a national.
nc,Person,PersonOrganDonorAbstract,,,A data concept for an organ a person is willing to donate upon death.
nc,Person,PersonOrganDonorIndicator,niem-xs,boolean,True if a person has given consent to be used as an organ donor upon death; false otherwise.
nc,Person,PersonOtherIdentification,nc,IdentificationType,An identification with a kind that is not explicitly defined in the standard that refers to a person within a certain domain.
nc,Person,PersonPassportIdentification,nc,IdentificationType,An identification of a passport issued to a person.
nc,Person,PersonPhysicalDisabilityText,nc,TextType,A physical disability of a person.
nc,Person,PersonPhysicalFeature,nc,PhysicalFeatureType,A prominent or easily identifiable aspect of a person.
nc,Person,PersonPrimaryLanguage,nc,PersonLanguageType,A capacity of a person for a language with which that person has the strongest familiarity.
nc,Person,PersonRaceAbstract,,,A data concept for a classification of a person based on factors such as geographical locations and genetics.
nc,Person,PersonReligionAbstract,,,A data concept for a religion to which a person subscribes or believes; a categorization of spiritual beliefs.
nc,Person,PersonResidentAbstract,,,"A data concept for a manner of residence a person has in a city, town, community, or other area."
nc,Person,PersonSecondaryLanguage,nc,PersonLanguageType,A capacity of a person for a language with which that person is not completely fluent.
nc,Person,PersonSecurityClearanceAbstract,,,A data concept for a formal authorization granting a person access to classified or restricted information.
nc,Person,PersonSexAbstract,,,A data concept for a gender or sex of a person.
nc,Person,PersonSexualOrientationAbstract,,,A data concept for a target gender of the sexual interest of a person.
nc,Person,PersonSkinToneAbstract,,,A data concept for a color or tone of the skin of a person.
nc,Person,PersonSpeechDescriptionText,nc,TextType,A description of a pattern of speech with which a person speaks.
nc,Person,PersonSSNIdentification,nc,IdentificationType,A unique identification reference to a living person; assigned by the United States Social Security Administration.
nc,Person,PersonStateIdentification,nc,IdentificationType,An identification of a person based on a state-issued ID card.
nc,Person,PersonTaxIdentification,nc,IdentificationType,An identification used to refer to a specific person within the tax system of a country.
nc,Person,PersonUnemploymentStatus,nc,StatusType,A status of a person's period of unemployment.
nc,Person,PersonUnionStatusAbstract,,,A data concept for a legal status of a union between two people.
nc,Person,PersonUSCitizenIndicator,niem-xs,boolean,True if a person is a citizen of the United States; false otherwise.
nc,Person,PersonVisionPrescriptionText,nc,TextType,A prescription a person needs for corrective lenses or contacts.
nc,Person,PersonWeightDescriptionText,nc,TextType,A description of the weight of a person.
nc,Person,PersonWeightMeasure,nc,WeightMeasureType,A measurement of the weight of a person.
nc,Person,PersonXRayImage,nc,ImageType,An X-Ray image of a person or part of a person.
nc,PersonEmploymentAssociation,PersonEmploymentAssociation,nc,EmploymentAssociationType,An association between an employee and an employer.
nc,PersonEmploymentAssociation,Employee,nc,PersonType,A person who works for a business or a person.
nc,PersonEmploymentAssociation,EmployeeAssignmentAssociation,nc,EmployeeAssignmentAssociationType,An association between an employee and a position or post for which that employee has been temporarily assigned to for some period of time.
nc,PersonEmploymentAssociation,EmployeeContactInformation,nc,ContactInformationType,A means of contacting a person at work.
nc,PersonEmploymentAssociation,EmployeeFullTimeIndicator,niem-xs,boolean,True if a person has full-time employment; false otherwise.
nc,PersonEmploymentAssociation,EmployeeHoursDailyQuantity,nc,QuantityType,A number of hours spent at workplace or working in a typical work day.
nc,PersonEmploymentAssociation,EmployeeHoursFixedIndicator,niem-xs,boolean,True if the number of hours that employee works each week is fixed; false if the hours are flexible.
nc,PersonEmploymentAssociation,EmployeeHoursMonthlyQuantity,nc,QuantityType,A typical number of hours spent at workplace or working in a typical month.
nc,PersonEmploymentAssociation,EmployeeHoursWeeklyQuantity,nc,QuantityType,A number of hours spent at workplace or working in a typical week.
nc,PersonEmploymentAssociation,EmployeeIdentification,nc,IdentificationType,An employment identification number assigned to a person.
nc,PersonEmploymentAssociation,EmployeeOccupationAbstract,,,A data concept for a job of an employee.
nc,PersonEmploymentAssociation,EmployeeOccupationCategoryAbstract,,,A data concept for a general kind of job of an employee.
nc,PersonEmploymentAssociation,EmployeePayAbstract,,,A data concept for a monetary compensation a person receives for employment.
nc,PersonEmploymentAssociation,EmployeePayHourlyIndicator,niem-xs,boolean,True if a person is paid on an hourly basis; false if a person is salaried.
nc,PersonEmploymentAssociation,EmployeePosition,nc,EmploymentPositionType,"A job, post, or group of duties and responsibilities performed by an employee."
nc,PersonEmploymentAssociation,EmployeeRankAbstract,,,"A data concept for a rank, status, or promotion level of a person within an employment organization."
nc,PersonEmploymentAssociation,EmployeeSchedule,nc,ScheduleType,A plan for the days and hours that a person will work.
nc,PersonEmploymentAssociation,EmployeeScheduleFixedIndicator,niem-xs,boolean,True if an employee's weekly scheduled hours are fixed; false if the scheduled hours are flexible.
nc,PersonEmploymentAssociation,EmployeeShiftAbstract,,,A data concept for a set of hours or time frame during which a person usually works.
nc,PersonEmploymentAssociation,EmployeeSupervisor,nc,PersonType,A person who oversees and manages an employee.
nc,PersonEmploymentAssociation,Employer,nc,EmployerType,An organization or person that employs a person.
nc,PersonEmploymentAssociation,EmploymentAssociationAugmentationPoint,,,An augmentation point for EmploymentAssociationType.
nc,PersonEmploymentAssociation,EmploymentLengthAbstract,,,A data concept for an amount of time an employment as lasted.
nc,PersonEmploymentAssociation,EmploymentLocation,nc,LocationType,A location where a person works.
nc,PersonEmploymentAssociation,EmploymentStatus,nc,StatusType,A status of employment for a person.
nc,Program,Program,nc,ProgramType,"A set of projects, activities, or services intended to meet a need."
nc,Program,ProgramAction,nc,ActivityType,A project or service of a program.
nc,Program,ProgramAdministrator,nc,EntityType,An entity that runs a program.
nc,Program,ProgramAugmentationPoint,,,An augmentation point for ProgramType.
nc,Program,ProgramCapacityQuantity,niem-xs,nonNegativeInteger,A maximum number of people that can be enrolled in a program at a time.
nc,Program,ProgramCondition,nc,ConditionType,A condition that must be met in order for a person to remain in a program.
nc,Program,ProgramFacility,nc,FacilityType,A place where a program is located.
nc,Program,ProgramPerson,nc,PersonType,A person who attends a program.
nc,Program,ProgramPubliclyRunIndicator,niem-xs,boolean,True if a program is run in the public sector; false if the program is run privately.
nc,Program,ProgramPurposeText,nc,TextType,A purpose or reason for a program.
nc,Program,ProgramReferral,nc,ReferralType,A recommendation or mandate for a person to attend a program.
nc,Program,ProgramRelease,nc,ReleaseType,A manner by which a person left a program.
nc,Program,ProgramResidentialIndicator,niem-xs,boolean,True if a person resides at a program facility; false otherwise.
nc,Program,ProgramSupervisedIndicator,niem-xs,boolean,True if a person will be officially supervised through the duration of a program; false otherwise.
nc,Program,ProgramSupervisor,nc,EntityType,An entity that oversees and manages a program.
nc,Vehicle,Vehicle,nc,VehicleType,"A conveyance designed to carry an operator, passengers and/or cargo, over land."
nc,Vehicle,VehicleAugmentationPoint,,,An augmentation point for VehicleType.
nc,Vehicle,VehicleAxleQuantity,niem-xs,nonNegativeInteger,"A count of common axles of rotation of one or more wheels of a vehicle, whether power driven or freely rotating."
nc,Vehicle,VehicleCMVIndicator,niem-xs,boolean,True if a vehicle is a commercial motor vehicle; false otherwise.
nc,Vehicle,VehicleColorInteriorAbstract,,,A data concept for a color of the interior of a vehicle.
nc,Vehicle,VehicleCurrentWeightMeasure,nc,WeightMeasureType,"An observed, estimated, or measured weight of the conveyance."
nc,Vehicle,VehicleDoorQuantity,niem-xs,nonNegativeInteger,A number of doors on a vehicle.
nc,Vehicle,VehicleGrossLadenSumWeightMeasure,nc,WeightMeasureType,A sum of values specified by the manufacturer(s) for a truck tractor or trailer for the units that make up a combination.
nc,Vehicle,VehicleGrossLadenUnitWeightMeasure,nc,WeightMeasureType,"A value specified by the manufacturer for a single unit truck, truck tractor, or trailer."
nc,Vehicle,VehicleIdentification,nc,IdentificationType,A unique identification for a specific vehicle.
nc,Vehicle,VehicleMakeAbstract,,,A data concept for a manufacturer of a vehicle.
nc,Vehicle,VehicleMaximumLoadWeightMeasure,nc,WeightMeasureType,"A maximum load weight intended for the vehicle to transport, assigned at the point of manufacture."
nc,Vehicle,VehicleModelAbstract,,,A data concept for a specific design or class of vehicle made by a manufacturer.
nc,Vehicle,VehicleMSRPAmount ,nc,AmountType,A manufacturer's suggested retail price of a vehicle; a price at which a manufacturer recommends a vehicle be sold.
nc,Vehicle,VehicleOdometerReadingMeasure,nc,LengthMeasureType,A reading of a vehicle odometer to the nearest mile or kilometer.
nc,Vehicle,VehiclePassengerSafeQuantity,niem-xs,nonNegativeInteger,A total number of people a vehicle is designed to safely transport.
nc,Vehicle,VehicleSeatingQuantity,niem-xs,nonNegativeInteger,A total number of seats available in a vehicle.
nc,Vehicle,VehicleTransmissionCategoryAbstract,,,A data concept for a kind of transmission unit in a vehicle.
nc,Vehicle,VehicleUnladenWeightMeasure,nc,WeightMeasureType,"A weight of a vehicle fully equipped for service, not including the weight of the payload."
